ID,artist,song,duration_ms,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
153,Erick Sermon,Music (feat. Marvin Gaye),223133,TRUE,2001,57,0.897,0.466,-9.053,0.203,0.187,1.35e-06,0.0757,0.884,100.01,"hip hop, pop"
154,D12,Purple Pills,304506,TRUE,2001,68,0.78,0.634,-5.941,0.16,0.0199,2.98e-05,0.29,0.754,125.25,"hip hop, pop, rock"
155,Usher,Pop Ya Collar - Radio Edit,210813,FALSE,2016,26,0.888,0.8,-3.944,0.0946,0.0901,2.12e-05,0.229,0.866,106.957,"hip hop, pop, R&B"
156,Madonna,Don't Tell Me,280973,FALSE,2000,53,0.699,0.618,-7.338,0.0594,0.0502,0.000925,0.0914,0.679,99.965,pop
157,Blue,If You Come Back,207560,FALSE,2001,58,0.582,0.707,-4.487,0.0319,0.0822,0,0.0467,0.701,78.375,pop
158,Atomic Kitten,Eternal Flame - Single Version,195506,FALSE,2001,58,0.578,0.581,-6.867,0.0318,0.0658,0.0042,0.0674,0.408,83.293,pop
159,Jagged Edge,Where the Party At (feat. Nelly),232573,FALSE,2001,67,0.596,0.661,-6.239,0.226,0.31,0,0.0847,0.86,129.491,"hip hop, pop, R&B"
160,Afroman,Because I Got High,197760,TRUE,2001,68,0.802,0.341,-8.56,0.488,0.169,0,0.0783,0.849,166.01,hip hop
161,S Club 7,Don't Stop Movin',233626,FALSE,2001,63,0.822,0.672,-6.133,0.0329,0.0285,0,0.213,0.91,117.033,pop
162,Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
163,Nelly Furtado,Turn Off The Light,276106,FALSE,2000,1,0.587,0.679,-6.26,0.0927,0.0839,0.000316,0.413,0.65,180.184,"hip hop, pop, latin"
164,The Supermen Lovers,Starlight - Radio Edit,234400,FALSE,2001,61,0.739,0.679,-5.079,0.0373,0.000424,0.0187,0.389,0.786,127.487,Dance/Electronic
165,Mis-Teeq,All I Want - Sunship Radio Edit,207400,FALSE,2004,46,0.795,0.919,-3.07,0.0835,0.37,0.00863,0.189,0.96,134.079,"pop, Dance/Electronic"
166,Jagged Edge,Promise,246720,FALSE,2000,56,0.751,0.568,-5.431,0.0872,0.136,0,0.0288,0.646,128.002,"hip hop, pop, R&B"
167,S Club 7,Have You Ever,201533,FALSE,2001,60,0.585,0.702,-5.734,0.0325,0.538,0,0.216,0.51,139.909,pop
168,Enya,Only Time,218546,FALSE,2000,69,0.418,0.249,-13.744,0.0301,0.841,0.661,0.112,0.213,82.803,"World/Traditional, Folk/Acoustic"
169,Faith Hill,There You'll Be,222120,FALSE,2001,60,0.321,0.511,-7.77,0.0306,0.513,0,0.127,0.17,128.98,"pop, country"
170,Ronan Keating,Lovin' Each Day,212973,FALSE,2000,58,0.541,0.899,-6.261,0.0633,0.0178,2.95e-06,0.286,0.829,106.676,"pop, rock"
171,Destiny's Child,Bootylicious,207906,FALSE,2001,64,0.84,0.835,-4.386,0.275,0.00281,1.11e-06,0.152,0.637,103.376,"pop, R&B"
172,Steps,It's the Way You Make Me Feel,197360,FALSE,2000,53,0.573,0.665,-5.081,0.0239,0.108,2.09e-06,0.095,0.347,105.006,"pop, Dance/Electronic"
173,Sunshine Anderson,Heard It All Before,295826,FALSE,2001,56,0.697,0.925,-4.209,0.216,0.0614,0,0.095,0.678,96.951,"pop, R&B"
174,Lenny Kravitz,Again,231666,FALSE,2000,68,0.55,0.804,-5.218,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,"rock, pop"
175,Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,FALSE,2002,46,0.836,0.762,-5.044,0.0598,0.0826,5.48e-05,0.102,0.941,133.592,pop
176,DB Boulevard,Point Of View - Radio Edit,231166,FALSE,2018,0,0.676,0.715,-6.854,0.0287,0.00284,0.0746,0.0685,0.275,129.006,Dance/Electronic
177,Janet Jackson,All For You,329933,FALSE,2001,65,0.753,0.934,-3.011,0.0736,0.0174,0.065,0.128,0.73,113.525,"pop, R&B"
178,Atomic Kitten,Whole Again,185013,FALSE,2001,66,0.747,0.706,-4.653,0.0413,0.0844,0.00355,0.174,0.567,94.019,pop
179,Ja Rule,Livin' It Up,257066,FALSE,2001,64,0.874,0.768,-4.086,0.311,0.0554,0,0.041,0.636,106.095,"hip hop, pop, R&B"
180,Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,0.73,0.602,-3.782,0.206,0.362,3.69e-06,0.169,0.927,97.954,"pop, R&B"
181,DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,FALSE,2001,54,0.847,0.877,-5.424,0.0493,0.124,0,0.148,0.764,131.044,Dance/Electronic
182,Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,TRUE,2001,66,0.708,0.587,-7.93,0.151,0.273,0,0.0718,0.554,83.46,"hip hop, pop, R&B"
183,Musiq Soulchild,Love,304666,FALSE,2000,0,0.569,0.385,-9.919,0.0499,0.342,0,0.0876,0.339,99.738,"pop, R&B"
184,So Solid Crew,21 Seconds,302826,TRUE,2001,51,0.607,0.637,-11.072,0.241,0.0191,0,0.124,0.818,137.03,Dance/Electronic
185,Robbie Williams,Eternity,302760,FALSE,2001,48,0.469,0.316,-8.106,0.0265,0.504,6.04e-06,0.0919,0.199,77.967,"pop, rock"
186,Basement Jaxx,Romeo,217493,FALSE,2001,0,0.713,0.829,-4.171,0.0491,0.00769,0.00203,0.139,0.844,126.853,"pop, Dance/Electronic"
187,Ludacris,Southern Hospitality (Featuring Pharrell),300933,TRUE,2000,54,0.623,0.896,-4.719,0.247,0.035,0,0.0941,0.613,95.158,"hip hop, pop"
188,Gabrielle,Rise,219093,FALSE,2001,60,0.558,0.481,-9.487,0.026,0.315,8.83e-06,0.09,0.631,144.673,"pop, R&B"
189,Nelly,Ride Wit Me,291781,TRUE,2000,75,0.85,0.7,-6.49,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,"hip hop, pop, R&B"
190,Trick Daddy,I'm a Thug,254400,TRUE,2001,59,0.933,0.561,-5.961,0.122,0.0275,0,0.102,0.586,139.976,"hip hop, pop"
191,Travis,Sing,228800,FALSE,2001,68,0.33,0.905,-5.047,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,"rock, pop"
192,JAY-Z,Izzo (H.O.V.A.),240626,TRUE,2001,63,0.618,0.844,-4.051,0.342,0.0178,0.000126,0.0634,0.697,84.411,hip hop
193,Gabrielle,Out Of Reach,196986,FALSE,2001,69,0.51,0.48,-6.567,0.0452,0.503,0,0.106,0.496,182.862,"pop, R&B"
194,OPM,Heaven Is a Halfpipe (If I Die),257426,TRUE,2000,56,0.743,0.894,-6.886,0.0349,0.0755,0.00283,0.367,0.77,95.9,rock
195,K-Ci & JoJo,Crazy,262773,FALSE,2019,30,0.68,0.644,-4.507,0.0258,0.084,0,0.549,0.484,116.097,"pop, R&B"
196,Staind,It's Been Awhile,264706,TRUE,2001,64,0.509,0.774,-4.054,0.0338,0.00189,0.000549,0.143,0.0824,116.529,"rock, metal"
197,3LW,No More (Baby I'ma Do Right),263440,FALSE,2000,56,0.721,0.723,-7.08,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,"pop, R&B"
198,Ginuwine,Differences,265533,FALSE,2001,65,0.562,0.594,-4.578,0.0558,0.318,0,0.311,0.423,62.876,"hip hop, pop, R&B"
199,*NSYNC,Gone,292000,FALSE,2001,45,0.699,0.403,-8.564,0.0614,0.421,0,0.126,0.5,113.922,pop
200,Lifehouse,Hanging By A Moment,216360,FALSE,2000,61,0.537,0.858,-4.903,0.0349,0.000966,0,0.0812,0.502,124.599,"pop, rock, metal"
201,Nelly,Dilemma,289160,TRUE,2002,77,0.727,0.552,-8.074,0.14,0.227,0.000164,0.198,0.607,168.189,"hip hop, pop, R&B"
202,Eminem,Without Me,290320,TRUE,2002,87,0.908,0.669,-2.827,0.0738,0.00286,0,0.237,0.662,112.238,hip hop
203,Avril Lavigne,Complicated,244506,FALSE,2002,78,0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,pop
204,Vanessa Carlton,A Thousand Miles,237493,FALSE,2002,75,0.56,0.825,-3.862,0.0379,0.323,0,0.161,0.268,94.931,"Folk/Acoustic, pop"
205,The Calling,Wherever You Will Go,208600,FALSE,2001,72,0.558,0.719,-5.113,0.0267,0.0367,0,0.115,0.371,112.027,pop
206,Shakira,Underneath Your Clothes,224066,FALSE,2001,64,0.616,0.597,-5.328,0.0415,0.691,0,0.104,0.362,165.508,"pop, latin"
207,No Doubt,Underneath It All,302720,FALSE,2001,27,0.729,0.731,-4.822,0.0684,0.232,1.57e-06,0.391,0.839,138.202,"rock, pop"
208,Truth Hurts,Addictive,226440,TRUE,2002,58,0.701,0.677,-6.591,0.147,0.0737,0.000162,0.187,0.367,99.271,"pop, R&B"
